tweet_id,favorite_count,retweet_count
822859134160621569,14090,2496
822647212903690241,0,7039
822610361945911296,15745,3242
822489057087389700,19356,7039
822462944365645825,30396,16067
822244816520155136,37377,10788
822163064745328640,0,5266
821886076407029760,12126,2567
821813639212650496,0,3659
821765923262631936,8998,1824
821522889702862852,8565,1937
821421320206483457,0,6137
821407182352777218,12575,4771
821153421864615936,271,10
821149554670182400,9316,2207
821107785811234820,10244,2334
821044531881721856,13529,2511
820837357901512704,0,7341
820749716845686786,33698,10885
820690176645140481,13035,3542
820494788566847489,0,623
820446719150292993,0,2836
820314633777061888,3564,623
820078625395449857,21187,6892
820013781606658049,0,1302
819952236453363712,5685,1302
819924195358416896,13748,5313
819711362133872643,14389,3446
819588359383371776,10223,2159
819347104292290561,7725,1325
819238181065359361,2442,444
819227688460238848,24683,7341
819015337530290176,0,40266
819015331746349057,0,20755
819006400881917954,48266,20755
819004803107983360,92375,40266
818646164899774465,0,22918
818627210458333184,23741,8178
818614493328580609,10553,2839
818588835076603904,0,6745
818536468981415936,11673,2724
818307523543449600,0,8931
818259473185828864,11801,2518
818145370475810820,13153,2857
817908911860748288,5185,866
817827839487737858,55501,29827
817777686764523521,11457,2938
817536400337801217,12630,3337
817502432452313088,0,3723
817423860136083457,36656,16450
817415592588222464,6017,1060
817181837579653120,0,9352
817171292965273600,9339,2211
817120970343411712,13028,2883
817056546584727552,9184,1818
816829038950027264,0,5189
816816676327063552,10706,2239
816697700272001025,10506,2433
816450570814898180,32759,8931
816336735214911488,9212,2151
816091915477250048,9568,2370
816062466425819140,0,1146
816014286006976512,0,5846
815990720817401858,5360,1146
815966073409433600,24044,9352
815745968457060357,0,4553
815736392542261248,10545,2503
815639385530101762,8814,1812
815390420867969024,11099,4192
814986499976527872,8182,1424
814638523311648768,12096,2981
814578408554463233,0,6395
814530161257443328,9294,2041
814153002265309185,30840,9574
813944609378369540,0,3525
813910438903693312,9974,2073
813812741911748608,38971,15430
813800681631023104,8962,1936
813217897535406080,20053,8039
813202720496779264,9858,1979
813187593374461952,21286,4810
813172488309972993,10020,2109
813157409116065792,8325,2445
813142292504645637,9037,2598
813130366689148928,4793,488
813127251579564032,12732,3448
813112105746448384,11094,3037
813096984823349248,11295,3974
813081950185472002,10603,3051
813066809284972545,8550,2146
813051746834595840,22507,8082
812781120811126785,8138,2105
812747805718642688,0,7645
812709060537683968,7121,1572
812503143955202048,6529,1350
812466873996607488,8589,2121
812372279581671427,14717,4039
811985624773361665,7798,1547
811744202451197953,8113,1778
811647686436880384,5996,820
811627233043480576,13754,3455
811386762094317568,22457,7053
810984652412424192,5728,1581
810896069567610880,9725,1973
810657578271330305,11781,2917
810284430598270976,38097,12593
810254108431155201,15786,3703
809920764300447744,16644,4309
809808892968534016,0,5411
809448704142938112,7448,1620
809220051211603969,21434,6205
809084759137812480,14206,3866
808838249661788160,10854,3358
808733504066486276,8505,2391
808501579447930884,12133,2873
808344865868283904,45707,22918
808134635716833280,0,6573
808106460588765185,9370,2423
808001312164028416,13524,3902
807621403335917568,15663,4067
807106840509214720,127708,61358
807059379405148160,0,8095
807010152071229440,14013,4224
806629075125202948,80810,38498
806620845233815552,0,6099
806576416489959424,5209,2121
806542213899489280,10986,2615
806242860592926720,0,12917
806219024703037440,6908,1319
805958939288408065,0,5941
805932879469572096,8887,2111
805826884734976000,7086,2022
805823200554876929,0,8889
